Company,Location of Company,Region,is_shortlisted
Bernica graphics,Accra - Newtown,GREATER ACCRA,FALSE
Buck Press Ltd,Ofankor,GREATER ACCRA,FALSE
MTN Ghana,Abeka,GREATER ACCRA,FALSE
Echo house Ghana limited,"East legon , American house",GREATER ACCRA,FALSE
NND digital press,"Kokomlemle, circle",GREATER ACCRA,FALSE
Elupstra,Spintex,GREATER ACCRA,FALSE
"Doxa Open University, Abro media Campus",Dansoman roundabout,GREATER ACCRA,FALSE
"Doxa open University, Abro Media campus",Dansoman roundabout,GREATER ACCRA,FALSE
Hood Service,Ashale Botw3,GREATER ACCRA,FALSE
Tyncad,Accra,GREATER ACCRA,FALSE
3RD FLOOR DIGITAL (Advertising Agency),Accra- Dzorwulu,GREATER ACCRA,FALSE
Eleventh Space,North kaneshie,GREATER ACCRA,FALSE
Lime and Honey Limited,Pantang,GREATER ACCRA,FALSE
SolarTaxi Limited,Laterbiokorshie,GREATER ACCRA,FALSE
Hype.Up Limited,ACCRA,GREATER ACCRA,FALSE
Kantanka Multimedia Limited,Accra -Dansoman,GREATER ACCRA,FALSE
Directorate of Public Relation-Burma Camp,Burma Camp-Accra,GREATER ACCRA,FALSE
Council of Science and Industrial Research,Airport Residential Area,GREATER ACCRA,FALSE
Multimedia Ghana Limited,Accra,GREATER ACCRA,FALSE
IseI Media,Adenta Dakota No. S,GREATER ACCRA,FALSE
Insel Communications,Accra,GREATER ACCRA,FALSE
Citi TV,Adabraka-Accra,GREATER ACCRA,FALSE
Ro-Marong Grafix,Spintex Road,GREATER ACCRA,FALSE
G-Pak Company Ltd,Accra,GREATER ACCRA,FALSE
Ink it,Accra-Newtown,GREATER ACCRA,FALSE
Ink it,Accra-Newtown,GREATER ACCRA,FALSE
Sankofa Tv,Kasoa Ayigbe town junction,GREATER ACCRA,FALSE
Screen Tech Ghana,"Palace Town, Anyaa",GREATER ACCRA,FALSE
Multimedia Group Limited,Kokomlemle,GREATER ACCRA,FALSE
Business and Financial Times,Asheley Botwe-Madina,GREATER ACCRA,FALSE
BLUETOWN GHANA,Cantonments-Accra,GREATER ACCRA,FALSE
Digicraft Company Limited,Accra Dansoman,GREATER ACCRA,FALSE
Echo House Ghana Limited,East legon,GREATER ACCRA,FALSE
Media General Ghana,Accra,GREATER ACCRA,FALSE
Multimedia Group limited,Kokomlemle,GREATER ACCRA,FALSE
Echo House Ghana Limited,"Accra, East Legon",GREATER ACCRA,FALSE
MULTIMEDIA GROUP,Kokomlemle,GREATER ACCRA,FALSE
Multimedia Group,Kokomlemle,GREATER ACCRA,FALSE
Ghana Broadcasting Cooperation,Kanda,GREATER ACCRA,FALSE
Adwinsa Publication Ghana Ltd,Accra- Agbogba,GREATER ACCRA,FALSE
Metro Mass Transit Limited MMTL,Accra kaneshie pamprom,GREATER ACCRA,FALSE
Eleventh Space,Accra/ North Kaneshi,GREATER ACCRA,FALSE
MTN GHANA,Ashaiman,GREATER ACCRA,FALSE
The Multimedia Group,Accra/Kokomlemle,GREATER ACCRA,FALSE
